"julia_version_prefix","client_type","date","request_addrs","request_count","successes","cache_misses","body_bytes_sent","request_time"
"1.10.0-DEV","ci","2023-06-03",678,114899,85822,269,74120817428,1115.1
"1.10.0-DEV","ci","2023-06-04",736,112495,86575,346,67949602700,1991.448
"1.10.0-DEV","ci","2023-06-05",1046,184543,141095,511,132776391556,5364.003
"1.10.0-DEV","ci","2023-06-06",1107,293449,210491,490,158795170898,7899.115
"1.10.0-DEV","ci","2023-06-07",1145,274871,201395,545,179628738166,8670.966
"1.10.0-DEV","ci","2023-06-08",1097,222594,168239,573,151858068323,5246.557
"1.10.0-DEV","ci","2023-06-09",1014,167308,126265,463,118435997056,3860.905
"1.10.0-DEV","ci","2023-06-10",616,90382,72221,311,47184343563,686.994
"1.10.0-DEV","ci","2023-06-11",791,127569,99456,523,119111172950,2055.669
"1.10.0-DEV","ci","2023-06-12",1266,220588,173454,675,161713919022,4582.081
"1.10.0-DEV","ci","2023-06-13",1275,206911,160309,522,151778515808,14742.785
"1.10.0-DEV","ci","2023-06-14",1322,290428,213617,655,197517759136,18336.445
"1.10.0-DEV","ci","2023-06-15",1280,285455,216977,713,190435715902,23060.443
"1.10.0-DEV","ci","2023-06-16",1123,197938,158882,579,118925135557,7848.209
"1.10.0-DEV","ci","2023-06-17",715,134162,103081,363,77151290590,2960.158
"1.10.0-DEV","ci","2023-06-18",747,127652,99469,330,67502469012,2237.745
"1.10.0-DEV","ci","2023-06-19",1027,181579,137015,452,97709284646,2890.131
"1.10.0-DEV","ci","2023-06-20",1297,352546,252533,716,196016926900,11267.685
"1.10.0-DEV","ci","2023-06-21",1136,227559,172374,654,131195846106,6350.571
"1.10.0-DEV","ci","2023-06-22",1095,261751,186536,529,149743578815,8109.077
"1.10.0-DEV","ci","2023-06-23",1117,301353,217048,605,199297402430,10694.758
"1.10.0-DEV","ci","2023-06-24",598,175106,121921,263,94850259110,2184.665
"1.10.0-DEV","ci","2023-06-25",750,139286,102655,372,87155802134,2320.717
"1.10.0-DEV","ci","2023-06-26",1208,248426,187269,643,183133498745,9514.597
"1.10.0-DEV","ci","2023-06-27",1133,310772,225722,596,196727086390,10663.372
"1.10.0-DEV","ci","2023-06-28",1144,298437,217488,569,184303347939,14195.322
"1.10.0-DEV","ci","2023-06-29",1193,306120,223704,637,195761428669,9536.599
"1.10.0-DEV","ci","2023-06-30",1172,280146,206411,565,177281856312,8488.647
"1.10.0-DEV","ci","2023-07-01",848,157638,116105,419,91131088174,2279.64
"1.10.0-DEV","ci","2023-07-02",847,135668,106966,566,136836249031,3500.137
"1.10.0-DEV","ci","2023-07-03",828,100962,82257,505,111147510480,3199.647
"1.10.0-DEV","ci","2023-07-04",13,1220,1096,0,1383302239,6.384
"1.10.0-DEV","ci","2023-07-05",9,23727,16256,15,13456118829,548.105
"1.10.0-DEV","ci","2023-07-06",17,15361,10553,13,9740460944,551.74
"1.10.0-DEV","ci","2023-07-07",1,746,625,2,1258897851,3.986
"1.10.0-DEV","ci","2023-07-16",1,45,30,0,95932712,0.248
"1.10.0-DEV","ci","2023-07-17",1,2,1,0,93,0.001
"1.10.0-DEV","ci","2023-07-18",6,2980,1878,2,1482451553,38.145
"1.10.0-DEV","ci","2023-07-19",6,2986,1879,0,1490110895,103.968
"1.10.0-DEV","ci","2023-07-20",19,8951,5635,0,4453381535,285.966
"1.10.0-DEV","ci","2023-07-22",5,4501,2842,0,2221958117,49.174
"1.10.0-DEV","ci","2023-07-23",5,4484,2830,0,2215329377,30.815
"1.10.0-DEV","ci","2023-07-24",19,6054,3801,8,3056000374,89.5
"1.10.0-DEV","ci","2023-07-25",18,5972,3761,0,2979726149,89.766
"1.10.0-DEV","ci","2023-07-26",35,10583,6658,5,5248432906,496.857
"1.10.0-DEV","ci","2023-07-27",12,5967,3757,0,2989808804,196.932
"1.10.0-DEV","ci","2023-07-28",4,2424,1548,0,1118065761,10.065
"1.10.0-DEV","ci","2023-07-31",6,38,22,0,13026834,0.571
"1.10.0-DEV","ci","2023-08-01",3,4427,2793,0,2231242056,69.717
"1.10.0-DEV","ci","2023-08-03",25,10308,6514,1,5246443861,209.715
"1.10.0-DEV","ci","2023-08-04",6,4405,2791,0,2270869844,258.756
"1.10.0-DEV","ci","2023-08-05",1,4,2,0,186,0.002
"1.10.0-DEV","ci","2023-08-06",1,1333,858,0,740129765,12.052
"1.10.0-DEV","ci","2023-08-07",7,2990,1885,0,1494359791,15.955
"1.10.0-DEV","ci","2023-08-09",12,2855,1813,0,1499746240,122.861
"1.10.0-DEV","ci","2023-08-10",2,2823,1792,0,1487439966,141.249
"1.10.0-DEV","ci","2023-08-11",6,2721,1693,0,805091113,13.547
